,Year,Rainfall
0,2008,1.3391304347826092
1,2009,1.2734246575342467
2,2010,2.1276712328767124
3,2011,2.5864768683274013
4,2012,2.1923076923076916
5,2013,2.1683018867924524
6,2014,1.6416666666666657
7,2015,0.9333333333333335
8,2016,1.8710204081632653
9,2017,1.4636363636363638
